transaction_id,timestamp,transaction_type,product_id,quantity,performed_by,status,note
TX000033,2024-12-31T08:00:00,import,P0033,75,warehouse,success,opening_stock
TX000034,2024-12-31T08:00:00,import,P0034,60,warehouse,success,opening_stock
TX000035,2024-12-31T08:00:00,import,P0035,110,warehouse,success,opening_stock
TX000036,2024-12-31T08:00:00,import,P0036,35,warehouse,success,opening_stock
TX000037,2024-12-31T08:00:00,import,P0037,45,warehouse,success,opening_stock
TX000038,2024-12-31T08:00:00,import,P0038,80,warehouse,success,opening_stock
TX000039,2024-12-31T08:00:00,import,P0039,120,warehouse,success,opening_stock
TX000040,2024-12-31T08:00:00,import,P0040,140,warehouse,success,opening_stock
TX000041,2024-12-31T08:00:00,import,P0041,35,warehouse,success,opening_stock
TX000042,2024-12-31T08:00:00,import,P0042,100,warehouse,success,opening_stock
TX000043,2024-12-31T08:00:00,import,P0043,12,warehouse,success,opening_stock
TX000044,2024-12-31T08:00:00,import,P0044,20,warehouse,success,opening_stock
TX000045,2024-12-31T08:00:00,import,P0045,10,warehouse,success,opening_stock
TX000046,2024-12-31T08:00:00,import,P0046,15,warehouse,success,opening_stock
TX000047,2024-12-31T08:00:00,import,P0047,65,warehouse,success,opening_stock
TX000048,2024-12-31T08:00:00,import,P0048,160,warehouse,success,opening_stock
TX000049,2024-12-31T08:00:00,import,P0049,45,warehouse,success,opening_stock
TX000050,2024-12-31T08:00:00,import,P0050,18,warehouse,success,opening_stock
TX000051,2024-12-31T08:00:00,import,P0051,45,warehouse,success,opening_stock
TX000052,2024-12-31T08:00:00,import,P0052,35,warehouse,success,opening_stock
TX000053,2024-12-31T08:00:00,import,P0053,70,warehouse,success,opening_stock
TX000054,2024-12-31T08:00:00,import,P0054,55,warehouse,success,opening_stock
TX000055,2024-12-31T08:00:00,import,P0055,45,warehouse,success,opening_stock
TX000056,2024-12-31T08:00:00,import,P0056,50,warehouse,success,opening_stock
TX000057,2024-12-31T08:00:00,import,P0057,65,warehouse,success,opening_stock
TX000058,2024-12-31T08:00:00,import,P0058,30,warehouse,success,opening_stock
TX000059,2024-12-31T08:00:00,import,P0059,90,warehouse,success,opening_stock
TX000060,2024-12-31T08:00:00,import,P0060,32,warehouse,success,opening_stock
TX000061,2024-12-31T08:00:00,import,P0061,24,warehouse,success,opening_stock
TX000062,2024-12-31T08:00:00,import,P0062,45,warehouse,success,opening_stock
TX000063,2024-12-31T08:00:00,import,P0063,75,warehouse,success,opening_stock
TX000064,2024-12-31T08:00:00,import,P0064,40,warehouse,success,opening_stock
TX000065,2024-12-31T08:00:00,import,P0065,74,warehouse,success,opening_stock
TX000066,2024-12-31T08:00:00,import,P0066,47,warehouse,success,opening_stock
TX000067,2024-12-31T08:00:00,import,P0067,62,warehouse,success,opening_stock
TX000068,2024-12-31T08:00:00,import,P0068,92,warehouse,success,opening_stock
TX000069,2024-12-31T08:00:00,import,P0069,61,warehouse,success,opening_stock
TX000070,2024-12-31T08:00:00,import,P0070,67,warehouse,success,opening_stock
TX000071,2024-12-31T08:00:00,import,P0071,59,warehouse,success,opening_stock
TX000072,2024-12-31T08:00:00,import,P0072,1,warehouse,success,opening_stock
TX000073,2024-12-31T08:00:00,import,P0073,27,warehouse,success,opening_stock
TX000074,2024-12-31T08:00:00,import,P0074,31,warehouse,success,opening_stock
TX000075,2024-12-31T08:00:00,import,P0075,1,warehouse,success,opening_stock
TX000076,2024-12-31T08:00:00,import,P0076,66,warehouse,success,opening_stock
TX000077,2024-12-31T08:00:00,import,P0077,77,warehouse,success,opening_stock
TX000078,2024-12-31T08:00:00,import,P0078,88,warehouse,success,opening_stock
TX000079,2024-12-31T08:00:00,import,P0079,99,warehouse,success,opening_stock
TX000080,2024-12-31T08:00:00,import,P0080,110,warehouse,success,opening_stock
TX000081,2024-12-31T08:00:00,import,P0081,121,warehouse,success,opening_stock
TX000082,2024-12-31T08:00:00,import,P0082,32,warehouse,success,opening_stock
TX000083,2024-12-31T08:00:00,import,P0083,43,warehouse,success,opening_stock
TX000084,2024-12-31T08:00:00,import,P0084,54,warehouse,success,opening_stock
TX000085,2024-12-31T08:00:00,import,P0085,65,warehouse,success,opening_stock
TX000086,2024-12-31T08:00:00,import,P0086,76,warehouse,success,opening_stock
TX000087,2024-12-31T08:00:00,import,P0087,87,warehouse,success,opening_stock
TX000088,2024-12-31T08:00:00,import,P0088,98,warehouse,success,opening_stock
TX000089,2024-12-31T08:00:00,import,P0089,109,warehouse,success,opening_stock
TX000090,2024-12-31T08:00:00,import,P0090,120,warehouse,success,opening_stock
TX000091,2025-01-01T18:05:00,sale,P0072,3,cashier,success,order=ORD000228
TX000092,2025-01-01T18:05:00,sale,P0032,2,cashier,success,order=ORD000228
TX000093,2025-01-01T18:05:00,sale,P0006,4,cashier,success,order=ORD000228
TX000094,2025-01-01T18:05:00,sale,P0052,3,cashier,success,order=ORD000228
TX000095,2025-01-01T18:05:00,sale,P0059,5,cashier,success,order=ORD000228
TX000096,2025-01-01T18:05:00,sale,P0067,1,cashier,success,order=ORD000228
TX000097,2025-01-01T18:05:00,sale,P0064,3,cashier,success,order=ORD000228
TX000098,2025-01-01T18:05:00,sale,P0008,3,cashier,success,order=ORD000228
TX000099,2025-01-01T20:03:00,sale,P0018,24,cashier,success,order=ORD000503
TX000100,2025-01-01T20:03:00,sale,P0019,8,cashier,success,order=ORD000503
TX000101,2025-01-01T20:03:00,sale,P0038,22,cashier,success,order=ORD000503
TX000102,2025-01-02T04:40:00,sale,P0067,1,cashier,success,order=ORD000252
TX000103,2025-01-02T04:40:00,sale,P0055,5,cashier,success,order=ORD000252
TX000104,2025-01-02T20:46:00,sale,P0052,5,cashier,success,order=ORD000017
TX000105,2025-01-02T20:46:00,sale,P0044,3,cashier,success,order=ORD000017
TX000106,2025-01-03T17:01:00,sale,P0077,2,cashier,success,order=ORD000055
TX000107,2025-01-03T17:01:00,sale,P0083,1,cashier,success,order=ORD000055
TX000108,2025-01-03T17:01:00,sale,P0066,5,cashier,success,order=ORD000055
TX000109,2025-01-03T23:21:00,sale,P0075,5,cashier,success,order=ORD000419
TX000110,2025-01-03T23:21:00,sale,P0089,4,cashier,success,order=ORD000419
TX000111,2025-01-03T23:21:00,sale,P0082,2,cashier,success,order=ORD000419
TX000112,2025-01-03T23:21:00,sale,P0056,5,cashier,success,order=ORD000419
TX000113,2025-01-03T23:21:00,sale,P0048,3,cashier,success,order=ORD000419
TX000114,2025-01-04T01:38:00,sale,P0048,5,cashier,success,order=ORD000208
TX000115,2025-01-04T01:38:00,sale,P0008,2,cashier,success,order=ORD000208
TX000116,2025-01-04T02:48:00,sale,P0049,2,cashier,success,order=ORD001079
TX000117,2025-01-04T02:48:00,sale,P0037,1,cashier,success,order=ORD001079
TX000118,2025-01-04T02:48:00,sale,P0023,3,cashier,success,order=ORD001079
TX000119,2025-01-04T02:48:00,sale,P0002,4,cashier,success,order=ORD001079
TX000120,2025-01-04T02:48:00,sale,P0011,5,cashier,success,order=ORD001079
TX000121,2025-01-04T21:00:00,sale,P0004,5,cashier,success,order=ORD000449
TX000122,2025-01-05T01:33:00,sale,P0002,1,cashier,success,order=ORD000224
TX000123,2025-01-05T02:37:00,sale,P0005,4,cashier,success,order=ORD000494
TX000124,2025-01-05T02:37:00,sale,P0019,3,cashier,success,order=ORD000494
TX000125,2025-01-05T02:37:00,sale,P0073,3,cashier,success,order=ORD000494
TX000126,2025-01-05T02:37:00,sale,P0074,3,cashier,success,order=ORD000494
TX000127,2025-01-05T18:26:00,sale,P0089,5,cashier,success,order=ORD000235
TX000128,2025-01-05T18:26:00,sale,P0046,1,cashier,success,order=ORD000235
TX000129,2025-01-05T22:59:00,sale,P0023,4,cashier,success,order=ORD000382
TX000130,2025-01-05T22:59:00,sale,P0008,1,cashier,success,order=ORD000382
TX000131,2025-01-05T22:59:00,sale,P0076,4,cashier,success,order=ORD000382
TX000132,2025-01-05T22:59:00,sale,P0089,3,cashier,success,order=ORD000382
TX000133,2025-01-05T22:59:00,sale,P0019,1,cashier,success,order=ORD000382
TX000134,2025-01-05T22:59:00,sale,P0082,5,cashier,success,order=ORD000382
TX000135,2025-01-07T19:02:00,sale,P0035,2,cashier,success,order=ORD000140
TX000136,2025-01-07T19:02:00,sale,P0015,3,cashier,success,order=ORD000140
TX000137,2025-01-07T21:21:00,sale,P0076,13,cashier,success,order=ORD000695
TX000138,2025-01-07T21:21:00,sale,P0089,26,cashier,success,order=ORD000695
TX000139,2025-01-07T21:21:00,sale,P0078,25,cashier,success,order=ORD000695
TX000140,2025-01-07T21:21:00,sale,P0079,16,cashier,success,order=ORD000695
TX000141,2025-01-08T02:34:00,sale,P0078,3,cashier,success,order=ORD001042
TX000142,2025-01-08T04:17:00,sale,P0089,1,cashier,success,order=ORD001038
TX000143,2025-01-08T04:17:00,sale,P0086,5,cashier,success,order=ORD001038
TX000144,2025-01-08T04:17:00,sale,P0025,4,cashier,success,order=ORD001038
TX000145,2025-01-08T23:02:00,sale,P0076,1,cashier,success,order=ORD000599
TX000146,2025-01-08T23:02:00,sale,P0089,2,cashier,success,order=ORD000599
TX000147,2025-01-08T23:07:00,sale,P0009,5,cashier,success,order=ORD001111
TX000148,2025-01-09T17:44:00,sale,P0042,1,cashier,success,order=ORD001049
TX000149,2025-01-09T17:44:00,sale,P0035,1,cashier,success,order=ORD001049
TX000150,2025-01-09T17:47:00,sale,P0017,4,cashier,success,order=ORD000401
TX000151,2025-01-09T17:47:00,sale,P0035,3,cashier,success,order=ORD000401
TX000152,2025-01-10T04:12:00,sale,P0008,22,cashier,success,order=ORD000857
TX000153,2025-01-10T04:12:00,sale,P0071,9,cashier,success,order=ORD000857
TX000154,2025-01-10T04:12:00,sale,P0025,10,cashier,success,order=ORD000857
TX000155,2025-01-10T18:03:00,sale,P0003,4,cashier,success,order=ORD000246
TX000156,2025-01-10T18:03:00,sale,P0026,1,cashier,success,order=ORD000246
TX000157,2025-01-10T18:03:00,sale,P0012,2,cashier,success,order=ORD000246
TX000158,2025-01-10T18:03:00,sale,P0039,4,cashier,success,order=ORD000246
TX000159,2025-01-10T18:03:00,sale,P0002,4,cashier,success,order=ORD000246
TX000160,2025-01-10T18:03:00,sale,P0011,3,cashier,success,order=ORD000246
TX000161,2025-01-10T18:21:00,sale,P0062,3,cashier,success,order=ORD001071
TX000162,2025-01-10T18:21:00,sale,P0049,3,cashier,success,order=ORD001071
TX000163,2025-01-10T18:21:00,sale,P0035,1,cashier,success,order=ORD001071
TX000164,2025-01-10T18:21:00,sale,P0060,1,cashier,success,order=ORD001071
TX000165,2025-01-11T00:40:00,sale,P0052,5,cashier,success,order=ORD000213
TX000166,2025-01-11T00:40:00,sale,P0059,2,cashier,success,order=ORD000213
TX000167,2025-01-11T01:06:00,sale,P0012,2,cashier,success,order=ORD000470
TX000168,2025-01-11T16:01:00,sale,P0075,4,cashier,success,order=ORD000621
TX000169,2025-01-11T16:01:00,sale,P0048,4,cashier,success,order=ORD000621
TX000170,2025-01-11T16:01:00,sale,P0078,1,cashier,success,order=ORD000621
TX000171,2025-01-12T18:07:00,sale,P0038,5,cashier,success,order=ORD000723
TX000172,2025-01-12T18:07:00,sale,P0075,5,cashier,success,order=ORD000723
TX000173,2025-01-12T18:07:00,sale,P0074,1,cashier,success,order=ORD000723
TX000174,2025-01-12T18:38:00,sale,P0088,5,cashier,success,order=ORD000535
TX000175,2025-01-12T18:38:00,sale,P0084,2,cashier,success,order=ORD000535
TX000176,2025-01-12T18:38:00,sale,P0087,5,cashier,success,order=ORD000535
TX000177,2025-01-12T18:46:00,sale,P0023,4,cashier,success,order=ORD000239
TX000178,2025-01-12T21:13:00,sale,P0019,12,cashier,success,order=ORD000267
TX000179,2025-01-12T21:13:00,sale,P0048,11,cashier,success,order=ORD000267
TX000180,2025-01-12T21:13:00,sale,P0068,6,cashier,success,order=ORD000267
TX000181,2025-01-12T21:13:00,sale,P0043,6,cashier,success,order=ORD000267
TX000182,2025-01-13T02:05:00,sale,P0028,3,cashier,success,order=ORD000928
TX000183,2025-01-13T02:05:00,sale,P0073,10,cashier,success,order=ORD000928
TX000184,2025-01-13T22:59:00,sale,P0014,5,cashier,success,order=ORD000347
TX000185,2025-01-13T22:59:00,sale,P0040,3,cashier,success,order=ORD000347
TX000186,2025-01-14T00:10:00,sale,P0036,3,cashier,success,order=ORD000982
TX000187,2025-01-14T00:10:00,sale,P0063,3,cashier,success,order=ORD000982
TX000188,2025-01-14T00:10:00,sale,P0016,3,cashier,success,order=ORD000982
TX000189,2025-01-14T17:00:00,import,P0049,24,warehouse,success,restock
TX000190,2025-01-14T17:00:00,import,P0084,13,warehouse,success,restock
TX000191,2025-01-14T17:40:00,sale,P0068,4,cashier,success,order=ORD000469
TX000192,2025-01-14T17:40:00,sale,P0043,1,cashier,success,order=ORD000469
TX000193,2025-01-14T17:40:00,sale,P0078,2,cashier,success,order=ORD000469
TX000194,2025-01-14T17:40:00,sale,P0079,4,cashier,success,order=ORD000469
TX000195,2025-01-14T19:29:00,sale,P0042,4,cashier,success,order=ORD001013
TX000196,2025-01-14T19:30:00,sale,P0058,29,cashier,success,order=ORD000404
TX000197,2025-01-14T19:30:00,sale,P0039,20,cashier,success,order=ORD000404
TX000198,2025-01-14T19:30:00,sale,P0056,8,cashier,success,order=ORD000404
TX000199,2025-01-14T19:56:00,sale,P0070,2,cashier,success,order=ORD000683
TX000200,2025-01-14T19:56:00,sale,P0033,1,cashier,success,order=ORD000683
TX000201,2025-01-14T19:56:00,sale,P0006,4,cashier,success,order=ORD000683
TX000202,2025-01-14T19:56:00,sale,P0076,4,cashier,success,order=ORD000683
TX000203,2025-01-15T03:06:00,sale,P0050,4,cashier,success,order=ORD000912
TX000204,2025-01-15T03:06:00,sale,P0059,4,cashier,success,order=ORD000912
TX000205,2025-01-15T03:06:00,sale,P0018,2,cashier,success,order=ORD000912
TX000206,2025-01-15T03:06:00,sale,P0022,2,cashier,success,order=ORD000912
TX000207,2025-01-15T03:06:00,sale,P0005,3,cashier,success,order=ORD000912
TX000208,2025-01-15T19:03:00,sale,P0013,3,cashier,success,order=ORD000585
TX000209,2025-01-15T19:03:00,sale,P0089,1,cashier,success,order=ORD000585
TX000210,2025-01-15T19:03:00,sale,P0065,3,cashier,success,order=ORD000585
TX000211,2025-01-15T20:17:00,sale,P0082,18,cashier,success,order=ORD000651
TX000212,2025-01-15T20:17:00,sale,P0072,19,cashier,success,order=ORD000651
TX000213,2025-01-16T01:14:00,sale,P0055,3,cashier,success,order=ORD000700
TX000214,2025-01-16T03:29:00,sale,P0023,3,cashier,success,order=ORD000753
TX000215,2025-01-16T03:29:00,sale,P0076,5,cashier,success,order=ORD000753
TX000216,2025-01-16T03:29:00,sale,P0089,3,cashier,success,order=ORD000753
TX000217,2025-01-16T03:29:00,sale,P0088,2,cashier,success,order=ORD000753
TX000218,2025-01-16T03:29:00,sale,P0084,3,cashier,success,order=ORD000753
TX000219,2025-01-16T17:34:00,sale,P0082,2,cashier,success,order=ORD001016
TX000220,2025-01-16T17:34:00,sale,P0028,4,cashier,success,order=ORD001016
TX000221,2025-01-16T17:34:00,sale,P0013,1,cashier,success,order=ORD001016
TX000222,2025-01-16T17:34:00,sale,P0069,1,cashier,success,order=ORD001016
TX000223,2025-01-16T17:34:00,sale,P0051,1,cashier,success,order=ORD001016
TX000224,2025-01-16T19:27:00,sale,P0035,4,cashier,success,order=ORD000305
TX000225,2025-01-16T19:27:00,sale,P0028,5,cashier,success,order=ORD000305
TX000226,2025-01-16T22:58:00,sale,P0087,5,cashier,success,order=ORD001048
TX000227,2025-01-16T22:58:00,sale,P0050,1,cashier,success,order=ORD001048
TX000228,2025-01-16T22:58:00,sale,P0089,1,cashier,success,order=ORD001048
TX000229,2025-01-16T22:58:00,sale,P0086,2,cashier,success,order=ORD001048
TX000230,2025-01-17T18:18:00,sale,P0033,1,cashier,success,order=ORD000873
TX000231,2025-01-17T18:18:00,sale,P0076,2,cashier,success,order=ORD000873
TX000232,2025-01-17T18:18:00,sale,P0089,4,cashier,success,order=ORD000873
TX000233,2025-01-17T18:18:00,sale,P0050,5,cashier,success,order=ORD000873
TX000234,2025-01-17T18:18:00,sale,P0005,5,cashier,success,order=ORD000873
TX000235,2025-01-17T18:18:00,sale,P0082,5,cashier,success,order=ORD000873
TX000236,2025-01-17T20:26:00,sale,P0013,8,cashier,success,order=ORD000091
TX000237,2025-01-17T22:56:00,sale,P0035,2,cashier,success,order=ORD000367
TX000238,2025-01-17T22:56:00,sale,P0028,2,cashier,success,order=ORD000367
TX000239,2025-01-17T22:56:00,sale,P0034,4,cashier,success,order=ORD000367
TX000240,2025-01-17T22:56:00,sale,P0041,1,cashier,success,order=ORD000367
TX000241,2025-01-17T22:56:00,sale,P0042,4,cashier,success,order=ORD000367
TX000242,2025-01-18T03:36:00,sale,P0013,3,cashier,success,order=ORD000335
TX000243,2025-01-18T04:42:00,sale,P0070,4,cashier,success,order=ORD000093
TX000244,2025-01-18T04:42:00,sale,P0080,1,cashier,success,order=ORD000093
TX000245,2025-01-18T04:42:00,sale,P0077,1,cashier,success,order=ORD000093
TX000246,2025-01-18T16:39:00,sale,P0086,1,cashier,success,order=ORD000316
TX000247,2025-01-18T17:07:00,sale,P0033,1,cashier,success,order=ORD000512
TX000248,2025-01-18T17:07:00,sale,P0006,3,cashier,success,order=ORD000512
TX000249,2025-01-18T17:07:00,sale,P0038,4,cashier,success,order=ORD000512
TX000250,2025-01-18T20:01:00,sale,P0087,5,cashier,success,order=ORD000158
TX000251,2025-01-18T20:01:00,sale,P0008,3,cashier,success,order=ORD000158
TX000252,2025-01-20T22:44:00,sale,P0035,2,cashier,success,order=ORD000648
TX000253,2025-01-20T22:44:00,sale,P0052,4,cashier,success,order=ORD000648
TX000254,2025-01-21T19:52:00,sale,P0036,5,cashier,success,order=ORD000882
TX000255,2025-01-21T19:52:00,sale,P0038,3,cashier,success,order=ORD000882
TX000256,2025-01-21T21:41:00,sale,P0078,1,cashier,success,order=ORD000752
TX000257,2025-01-21T21:41:00,sale,P0046,2,cashier,success,order=ORD000752
TX000258,2025-01-21T21:41:00,sale,P0086,3,cashier,success,order=ORD000752
TX000259,2025-01-21T21:54:00,sale,P0037,5,cashier,success,order=ORD000561
TX000260,2025-01-21T21:54:00,sale,P0055,4,cashier,success,order=ORD000561
TX000261,2025-01-22T00:24:00,sale,P0056,3,cashier,success,order=ORD000277
TX000262,2025-01-22T00:24:00,sale,P0005,4,cashier,success,order=ORD000277
TX000263,2025-01-22T00:27:00,sale,P0005,12,cashier,success,order=ORD000921
TX000264,2025-01-22T21:49:00,sale,P0018,2,cashier,success,order=ORD000840
TX000265,2025-01-22T21:49:00,sale,P0034,5,cashier,success,order=ORD000840
TX000266,2025-01-22T21:59:00,sale,P0036,1,cashier,success,order=ORD000059
TX000267,2025-01-22T21:59:00,sale,P0076,1,cashier,success,order=ORD000059
TX000268,2025-01-22T21:59:00,sale,P0089,4,cashier,success,order=ORD000059
TX000269,2025-01-23T03:49:00,sale,P0058,4,cashier,success,order=ORD000774
TX000270,2025-01-23T03:49:00,sale,P0020,5,cashier,success,order=ORD000774
TX000271,2025-01-23T20:28:00,sale,P0020,10,cashier,success,order=ORD000162
TX000272,2025-01-23T20:28:00,sale,P0025,11,cashier,success,order=ORD000162
TX000273,2025-01-24T02:54:00,sale,P0008,3,cashier,success,order=ORD000293
TX000274,2025-01-24T02:54:00,sale,P0042,2,cashier,success,order=ORD000293
TX000275,2025-01-24T17:00:00,import,P0073,14,warehouse,success,restock
TX000276,2025-01-24T18:22:00,sale,P0058,3,cashier,success,order=ORD001066
TX000277,2025-01-24T18:22:00,sale,P0036,5,cashier,success,order=ORD001066
TX000278,2025-01-24T18:22:00,sale,P0060,3,cashier,success,order=ORD001066
TX000279,2025-01-25T00:44:00,sale,P0068,1,cashier,success,order=ORD000936
TX000280,2025-01-25T00:44:00,sale,P0043,2,cashier,success,order=ORD000936
TX000281,2025-01-25T16:06:00,sale,P0077,2,cashier,success,order=ORD000128
TX000282,2025-01-25T16:06:00,sale,P0083,3,cashier,success,order=ORD000128
TX000283,2025-01-25T16:06:00,sale,P0086,3,cashier,success,order=ORD000128
TX000284,2025-01-25T16:06:00,sale,P0015,3,cashier,success,order=ORD000128
TX000285,2025-01-25T16:06:00,sale,P0016,2,cashier,success,order=ORD000128
TX000286,2025-01-25T16:18:00,sale,P0079,3,cashier,success,order=ORD000073
TX000287,2025-01-25T16:18:00,sale,P0042,3,cashier,success,order=ORD000073
TX000288,2025-01-26T02:06:00,sale,P0003,11,cashier,success,order=ORD000179
TX000289,2025-01-26T02:06:00,sale,P0038,25,cashier,success,order=ORD000179
TX000290,2025-01-26T02:06:00,sale,P0035,18,cashier,success,order=ORD000179
TX000291,2025-01-26T18:59:00,sale,P0076,2,cashier,success,order=ORD000149
TX000292,2025-01-26T18:59:00,sale,P0089,4,cashier,success,order=ORD000149
TX000293,2025-01-26T18:59:00,sale,P0004,5,cashier,success,order=ORD000149
TX000294,2025-01-26T21:45:00,sale,P0033,2,cashier,success,order=ORD000168
TX000295,2025-01-26T21:45:00,sale,P0006,5,cashier,success,order=ORD000168
TX000296,2025-01-27T00:54:00,sale,P0080,5,cashier,success,order=ORD000917
TX000297,2025-01-27T00:54:00,sale,P0077,2,cashier,success,order=ORD000917
TX000298,2025-01-27T00:54:00,sale,P0049,4,cashier,success,order=ORD000917
TX000299,2025-01-27T00:54:00,sale,P0030,2,cashier,success,order=ORD000917
TX000300,2025-01-27T04:49:00,sale,P0022,4,cashier,success,order=ORD001084
TX000301,2025-01-27T04:49:00,sale,P0048,2,cashier,success,order=ORD001084
TX000302,2025-01-27T17:26:00,sale,P0042,4,cashier,success,order=ORD000082
TX000303,2025-01-27T17:26:00,sale,P0060,2,cashier,success,order=ORD000082
TX000304,2025-01-28T16:54:00,sale,P0010,4,cashier,success,order=ORD000847
TX000305,2025-01-28T17:19:00,sale,P0013,3,cashier,success,order=ORD000680
TX000306,2025-01-28T17:19:00,sale,P0032,2,cashier,success,order=ORD000680
TX000307,2025-01-28T17:19:00,sale,P0006,2,cashier,success,order=ORD000680
TX000308,2025-01-28T17:19:00,sale,P0042,2,cashier,success,order=ORD000680
TX000309,2025-01-28T20:31:00,sale,P0030,1,cashier,success,order=ORD000652
TX000310,2025-01-28T20:31:00,sale,P0076,3,cashier,success,order=ORD000652
TX000311,2025-01-28T20:31:00,sale,P0089,5,cashier,success,order=ORD000652
TX000312,2025-01-28T20:31:00,sale,P0037,1,cashier,success,order=ORD000652
TX000313,2025-01-29T02:23:00,sale,P0038,1,cashier,success,order=ORD000332
TX000314,2025-01-29T02:23:00,sale,P0029,1,cashier,success,order=ORD000332
TX000315,2025-01-29T17:20:00,sale,P0079,28,cashier,success,order=ORD000378
TX000316,2025-01-29T17:20:00,sale,P0036,8,cashier,success,order=ORD000378
TX000317,2025-01-29T17:20:00,sale,P0033,23,cashier,success,order=ORD000378
TX000318,2025-01-29T20:22:00,sale,P0014,7,cashier,success,order=ORD000021
TX000319,2025-01-29T20:22:00,sale,P0048,17,cashier,success,order=ORD000021
TX000320,2025-01-29T23:36:00,sale,P0058,1,cashier,success,order=ORD001101
TX000321,2025-01-29T23:36:00,sale,P0040,5,cashier,success,order=ORD001101
TX000322,2025-01-30T18:17:00,sale,P0019,2,cashier,success,order=ORD001140
TX000323,2025-01-30T18:17:00,sale,P0008,2,cashier,success,order=ORD001140
TX000324,2025-01-30T18:17:00,sale,P0083,2,cashier,success,order=ORD001140
TX000325,2025-01-30T20:24:00,sale,P0013,1,cashier,success,order=ORD000429
TX000326,2025-01-30T22:19:00,sale,P0068,21,cashier,success,order=ORD001155
TX000327,2025-01-30T22:19:00,sale,P0059,15,cashier,success,order=ORD001155
TX000328,2025-01-30T22:19:00,sale,P0005,29,cashier,success,order=ORD001155
TX000329,2025-01-30T22:19:00,sale,P0035,17,cashier,success,order=ORD001155
TX000330,2025-01-30T22:19:00,sale,P0050,17,cashier,success,order=ORD001155
TX000331,2025-01-31T18:13:00,sale,P0067,5,cashier,success,order=ORD000619
TX000332,2025-01-31T18:13:00,sale,P0058,1,cashier,success,order=ORD000619
TX000333,2025-01-31T21:06:00,sale,P0029,21,cashier,success,order=ORD000802
TX000334,2025-01-31T22:55:00,sale,P0048,2,cashier,success,order=ORD001067
TX000335,2025-01-31T22:55:00,sale,P0005,3,cashier,success,order=ORD001067
TX000336,2025-02-01T00:02:00,sale,P0008,1,cashier,success,order=ORD000101
TX000337,2025-02-01T00:02:00,sale,P0076,4,cashier,success,order=ORD000101
TX000338,2025-02-01T00:02:00,sale,P0089,5,cashier,success,order=ORD000101
TX000339,2025-02-01T00:02:00,sale,P0002,5,cashier,success,order=ORD000101
TX000340,2025-02-01T00:02:00,sale,P0011,1,cashier,success,order=ORD000101
TX000341,2025-02-01T01:48:00,sale,P0008,3,cashier,success,order=ORD000798
TX000342,2025-02-01T01:48:00,sale,P0070,5,cashier,success,order=ORD000798
TX000343,2025-02-01T01:48:00,sale,P0064,1,cashier,success,order=ORD000798
TX000344,2025-02-01T22:55:00,sale,P0022,4,cashier,success,order=ORD000961
