customer_id,last_order,frequency,monetary,recency_days,R_score,F_score,M_score,RFM_score,city,customer_type,join_date,cluster,segment
C0038,2025-12-31 22:53:00,9,399006150.0,0,5,5,5,15,Nha Trang,wholesale,2024-06-12,1,Champions
C0039,2025-10-29 20:36:00,6,115356376.0,63,2,3,3,8,Cần Thơ,office,2024-07-24,2,Loyal
C0040,2025-12-26 23:31:00,7,1985310952.0,5,5,4,5,14,TP. Hồ Chí Minh,wholesale,2023-12-03,1,Champions
C0041,2025-12-08 16:04:00,6,87482592.0,23,4,3,3,10,Cần Thơ,student,2024-08-28,2,Loyal
C0042,2025-10-28 18:20:00,4,145670442.0,64,2,2,4,8,TP. Hồ Chí Minh,retail,2024-05-20,2,Loyal
C0043,2025-12-29 16:36:00,7,87087773.0,2,5,4,3,12,Biên Hòa,retail,2024-02-16,1,Champions
C0044,2025-12-31 03:55:00,6,105144939.0,0,5,3,3,11,Cần Thơ,office,2024-12-01,2,Loyal
C0045,2025-09-21 17:24:00,2,1613610.0,101,2,1,1,4,Đà Nẵng,retail,2024-12-22,3,At Risk
C0046,2025-12-23 16:07:00,6,40349485.0,8,5,3,2,10,Cần Thơ,student,2024-01-21,2,Loyal
C0047,2025-12-16 17:18:00,4,140160523.0,15,4,2,4,10,Hải Phòng,retail,2024-08-13,2,Loyal
C0048,2025-11-25 02:27:00,8,220752873.0,36,3,5,4,12,Đà Nẵng,retail,2024-12-22,1,Champions
C0049,2025-12-08 04:02:00,8,368533521.0,23,4,5,5,14,Hà Nội,wholesale,2024-12-30,1,Champions
C0050,2025-06-26 17:03:00,6,17757496.0,188,1,3,1,5,Hà Nội,retail,2024-08-04,0,Potential
C0051,2025-09-10 19:08:00,2,1452877.0,112,1,1,1,3,Cần Thơ,retail,2024-05-31,3,At Risk
C0052,2025-11-08 20:21:00,9,278476247.0,53,3,5,5,13,TP. Hồ Chí Minh,retail,2024-03-30,1,Champions
C0053,2025-12-16 20:53:00,7,448211420.0,15,4,4,5,13,TP. Hồ Chí Minh,office,2024-08-02,1,Champions
C0054,2025-12-20 00:42:00,3,8466902.0,11,5,1,1,7,Đà Nẵng,retail,2024-08-26,3,At Risk
C0055,2025-11-11 20:34:00,5,16212430.0,50,3,2,1,6,Đà Nẵng,retail,2024-07-28,2,Loyal
C0056,2025-06-28 19:12:00,1,58557460.0,186,1,1,3,5,Nha Trang,office,2024-10-03,0,Potential
C0057,2025-07-11 17:40:00,2,18494090.0,173,1,1,1,3,Hải Phòng,student,2024-08-30,0,Potential
C0058,2025-10-30 03:54:00,3,33334536.0,62,2,1,2,5,Huế,retail,2024-06-19,2,Loyal
C0059,2025-08-13 20:31:00,7,55076543.0,140,1,4,2,7,Biên Hòa,retail,2024-08-18,0,Potential
C0060,2025-12-05 23:19:00,8,39007926.0,26,4,5,2,11,TP. Hồ Chí Minh,retail,2024-03-22,1,Champions
C0061,2025-07-27 19:07:00,6,666806164.0,157,1,3,5,9,Hải Phòng,wholesale,2024-09-24,0,Potential
C0062,2025-11-03 01:15:00,7,32233920.0,58,2,4,2,8,TP. Hồ Chí Minh,student,2023-12-01,2,Loyal
C0063,2025-10-28 04:37:00,5,123928579.0,64,2,2,3,7,Hải Phòng,retail,2023-12-28,2,Loyal
C0064,2025-10-13 02:50:00,5,30430406.0,79,2,2,2,6,Huế,retail,2023-12-14,2,Loyal
C0065,2025-11-25 00:21:00,6,1854534702.0,36,3,3,5,11,Cần Thơ,wholesale,2024-03-28,1,Champions
C0066,2025-08-20 18:18:00,5,153454955.99999997,133,1,2,4,7,Đà Nẵng,student,2024-03-16,0,Potential
C0067,2025-11-26 18:35:00,4,24436488.0,35,3,2,2,7,Biên Hòa,retail,2024-09-15,2,Loyal
C0068,2025-12-16 16:39:00,3,152636632.0,15,4,1,4,9,Nha Trang,retail,2024-07-27,2,Loyal
C0069,2025-12-04 20:50:00,5,54973819.0,27,4,2,2,8,Nha Trang,retail,2024-01-16,2,Loyal
C0070,2025-12-19 00:46:00,5,79997522.0,12,5,3,3,11,Biên Hòa,student,2024-06-25,2,Loyal
C0071,2025-11-17 02:37:00,4,16216048.0,44,3,2,1,6,TP. Hồ Chí Minh,retail,2023-12-25,2,Loyal
C0072,2025-11-27 01:56:00,3,29248309.0,34,3,1,2,6,Huế,student,2024-12-04,2,Loyal
C0073,2025-10-17 02:29:00,5,44135827.0,75,2,3,2,7,Hải Phòng,retail,2024-01-22,2,Loyal
C0074,2025-12-29 01:18:00,8,361761057.0,2,5,5,5,15,Biên Hòa,retail,2024-08-28,1,Champions
C0075,2025-10-22 02:09:00,3,99644551.00000001,70,2,1,3,6,Cần Thơ,retail,2024-02-29,2,Loyal
C0076,2025-12-31 17:22:00,6,217628921.0,0,5,3,4,12,Biên Hòa,student,2024-01-05,1,Champions
C0078,2025-09-11 18:16:00,6,380790977.0,111,1,3,5,9,Hà Nội,office,2024-08-30,1,Champions
C0079,2025-09-16 00:31:00,5,256822638.0,106,1,3,5,9,Hải Phòng,retail,2024-12-17,0,Potential
C0080,2025-10-11 04:45:00,6,35370856.0,81,2,3,2,7,Biên Hòa,retail,2024-08-02,2,Loyal
C0081,2025-10-22 17:07:00,4,146732052.0,70,2,2,4,8,Hà Nội,retail,2024-06-20,2,Loyal
C0082,2025-11-27 04:48:00,4,159898606.0,34,3,2,4,9,Nha Trang,retail,2023-11-29,2,Loyal
C0083,2025-08-19 16:11:00,3,6263214.0,134,1,1,1,3,Cần Thơ,retail,2024-07-17,3,At Risk
C0084,2025-12-29 22:42:00,7,133998165.0,2,5,4,4,13,Biên Hòa,retail,2024-12-06,1,Champions
C0085,2025-10-28 19:06:00,2,33645480.0,64,2,1,2,5,Hải Phòng,office,2024-04-27,2,Loyal
C0086,2025-12-19 21:37:00,7,73017597.0,12,5,4,3,12,Hà Nội,student,2024-09-19,1,Champions
C0087,2025-10-29 22:23:00,5,234633854.0,63,2,3,5,10,Hà Nội,wholesale,2023-12-27,2,Loyal
C0088,2025-10-07 03:15:00,2,781814.0,85,2,1,1,4,Đà Nẵng,retail,2024-08-11,3,At Risk
C0089,2025-09-05 00:14:00,5,122136321.0,117,1,3,3,7,TP. Hồ Chí Minh,student,2024-08-14,0,Potential
C0090,2025-12-26 01:55:00,7,2058010839.0,5,5,4,5,14,TP. Hồ Chí Minh,wholesale,2024-01-02,1,Champions
C0091,2025-12-14 04:55:00,6,435363551.0,17,4,4,5,13,Nha Trang,retail,2024-03-27,1,Champions
C0092,2025-10-06 23:18:00,1,3135000.0,86,2,1,1,4,Hải Phòng,wholesale,2024-09-14,3,At Risk
C0093,2025-09-22 20:33:00,6,177086987.0,100,2,4,4,10,TP. Hồ Chí Minh,retail,2023-12-18,2,Loyal
C0094,2025-11-23 19:22:00,8,108933369.0,38,3,5,3,11,Huế,office,2024-09-21,1,Champions
C0095,2025-10-16 21:45:00,5,144807508.0,76,2,3,4,9,Huế,retail,2024-03-11,2,Loyal
C0096,2025-12-15 22:04:00,8,186539464.0,16,4,5,4,13,Đà Nẵng,wholesale,2024-06-17,1,Champions
C0097,2025-12-03 20:53:00,8,353794685.0,28,4,5,5,14,Biên Hòa,retail,2024-04-29,1,Champions
C0098,2025-10-28 20:46:00,8,47094463.0,64,2,5,2,9,TP. Hồ Chí Minh,retail,2024-12-16,1,Champions
C0099,2025-10-18 16:38:00,5,115088564.0,74,2,3,3,8,TP. Hồ Chí Minh,retail,2024-10-11,2,Loyal
C0100,2025-11-27 17:52:00,4,38040269.0,34,3,2,2,7,Cần Thơ,retail,2024-03-16,2,Loyal
C0101,2025-11-17 22:16:00,4,104793582.0,44,3,2,3,8,TP. Hồ Chí Minh,student,2024-05-24,2,Loyal
C0102,2025-11-23 01:18:00,6,65585154.0,38,3,4,3,10,Cần Thơ,retail,2024-06-04,2,Loyal
C0103,2025-12-16 21:26:00,7,151921716.0,15,4,4,4,12,Cần Thơ,wholesale,2024-09-01,1,Champions
C0104,2025-12-31 02:26:00,6,360149001.0,0,5,4,5,14,Hà Nội,wholesale,2024-10-27,1,Champions
C0105,2025-12-13 01:42:00,7,167113208.0,18,4,4,4,12,Cần Thơ,office,2024-09-06,1,Champions
C0106,2025-07-19 04:05:00,6,76369924.0,165,1,4,3,8,Đà Nẵng,retail,2024-01-20,0,Potential
C0107,2025-12-12 02:47:00,6,8469987.0,19,4,4,1,9,Đà Nẵng,retail,2024-01-21,2,Loyal
C0108,2025-11-06 03:52:00,3,100416568.0,55,3,1,3,7,Hải Phòng,student,2024-10-02,2,Loyal
C0109,2025-12-22 18:30:00,5,19796375.0,9,5,3,1,9,Cần Thơ,retail,2024-03-11,2,Loyal
C0110,2025-08-19 23:27:00,3,52133896.0,134,1,1,2,4,Hà Nội,retail,2024-04-04,0,Potential
C0111,2025-06-28 03:37:00,5,42095923.0,186,1,3,2,6,Cần Thơ,retail,2024-07-01,0,Potential
C0112,2025-05-07 20:21:00,3,360546950.0,238,1,1,5,7,Đà Nẵng,wholesale,2024-05-16,0,Potential
C0113,2025-12-14 20:14:00,6,105296809.0,17,4,4,3,11,Đà Nẵng,student,2024-04-10,2,Loyal
C0114,2025-12-02 20:47:00,2,45120258.0,29,4,1,2,7,Nha Trang,wholesale,2024-09-05,2,Loyal
C0115,2025-12-16 01:41:00,6,39961051.0,15,4,4,2,10,TP. Hồ Chí Minh,office,2024-01-24,2,Loyal
C0116,2025-11-24 20:05:00,7,26155005.0,37,3,4,2,9,Đà Nẵng,retail,2024-11-15,2,Loyal
C0117,2025-12-15 18:16:00,13,515320198.0,16,4,5,5,14,Đà Nẵng,retail,2024-06-04,1,Champions
C0118,2025-07-31 03:56:00,3,10004584.0,153,1,1,1,3,Cần Thơ,retail,2023-12-19,0,Potential
C0119,2025-11-06 03:17:00,5,63677843.0,55,3,3,3,9,Huế,retail,2023-12-18,2,Loyal
C0120,2025-12-30 18:02:00,3,3041760.0,1,5,1,1,7,TP. Hồ Chí Minh,retail,2024-04-03,3,At Risk
C0121,2025-12-12 16:06:00,7,204691651.0,19,4,4,4,12,Nha Trang,office,2024-09-09,1,Champions
C0122,2025-12-05 03:57:00,5,46617267.0,26,4,3,2,9,Đà Nẵng,office,2024-12-15,2,Loyal
C0123,2025-08-25 03:25:00,5,45425011.0,128,1,3,2,6,Đà Nẵng,office,2024-03-28,0,Potential
C0124,2025-11-14 23:11:00,5,15009890.0,47,3,3,1,7,Nha Trang,retail,2024-02-26,2,Loyal
C0125,2025-03-05 17:15:00,3,155318000.0,301,1,1,4,6,Huế,student,2024-12-09,0,Potential
C0126,2025-12-22 21:33:00,7,226291329.00000003,9,5,4,5,14,Hải Phòng,retail,2024-06-25,1,Champions
C0127,2025-08-22 00:37:00,5,21757550.0,131,1,3,1,5,TP. Hồ Chí Minh,retail,2024-11-21,0,Potential
C0128,2025-10-25 19:34:00,4,29104347.0,67,2,2,2,6,Biên Hòa,retail,2023-12-17,2,Loyal
C0129,2025-12-28 04:19:00,8,75286313.0,3,5,5,3,13,Huế,retail,2024-07-20,1,Champions
C0130,2025-12-05 00:16:00,4,16946720.0,26,4,2,1,7,Hải Phòng,retail,2024-03-23,2,Loyal
C0131,2025-11-25 03:14:00,5,201004244.0,36,3,3,4,10,Nha Trang,retail,2024-03-05,2,Loyal
C0132,2025-12-30 04:31:00,4,60351086.0,1,5,2,3,10,Cần Thơ,retail,2024-01-02,2,Loyal
C0133,2025-12-16 21:01:00,7,2355447263.0,15,4,4,5,13,Nha Trang,wholesale,2024-08-14,1,Champions
C0134,2025-08-04 23:29:00,2,413125250.0,149,1,1,5,7,Huế,office,2024-08-28,0,Potential
C0135,2025-11-26 03:50:00,6,196475987.0,35,3,4,4,11,Cần Thơ,retail,2024-01-26,1,Champions
C0136,2025-12-22 03:52:00,8,33168289.0,9,5,5,2,12,Hà Nội,retail,2024-04-11,1,Champions
C0137,2025-09-28 16:21:00,4,48248551.0,94,2,2,2,6,Huế,student,2024-07-07,2,Loyal
C0138,2025-07-03 21:43:00,3,221626149.0,181,1,1,4,6,Nha Trang,wholesale,2024-05-06,0,Potential
C0139,2025-12-23 23:12:00,9,181074737.0,8,5,5,4,14,TP. Hồ Chí Minh,retail,2024-08-15,1,Champions
C0140,2025-09-13 21:41:00,10,167721625.0,109,1,5,4,10,Hải Phòng,retail,2024-09-18,1,Champions
C0141,2025-08-15 03:08:00,8,35429918.0,138,1,5,2,8,Nha Trang,retail,2024-11-24,0,Potential
C0142,2025-08-22 16:23:00,4,5937281.0,131,1,2,1,4,Hải Phòng,retail,2024-08-29,3,At Risk
C0143,2025-09-25 02:36:00,7,160673858.0,97,2,4,4,10,Huế,wholesale,2024-01-02,1,Champions
C0144,2025-12-23 01:50:00,4,18346005.0,8,5,2,1,8,TP. Hồ Chí Minh,student,2024-11-01,2,Loyal
C0145,2025-11-09 22:21:00,9,284283485.0,52,3,5,5,13,Cần Thơ,wholesale,2024-04-29,1,Champions
C0146,2025-12-25 17:40:00,8,489854056.0,6,5,5,5,15,Nha Trang,wholesale,2024-05-13,1,Champions
C0147,2025-12-16 22:16:00,5,64576107.0,15,4,3,3,10,Đà Nẵng,retail,2024-09-06,2,Loyal
C0148,2025-11-18 17:31:00,8,464160081.0,43,3,5,5,13,Nha Trang,wholesale,2024-11-02,1,Champions
C0149,2025-09-03 18:51:00,3,6767591.0,119,1,1,1,3,Cần Thơ,retail,2024-02-25,3,At Risk
C0150,2025-11-28 00:38:00,4,7418052.0,33,3,2,1,6,Cần Thơ,retail,2023-11-28,3,At Risk
C0151,2025-07-14 23:53:00,3,13912010.0,170,1,1,1,3,Huế,retail,2024-07-05,0,Potential
C0152,2025-09-06 04:36:00,4,13534965.0,116,1,2,1,4,Hải Phòng,retail,2024-07-11,0,Potential
C0153,2025-11-23 17:06:00,7,1635596431.0,38,3,4,5,12,Đà Nẵng,wholesale,2024-12-08,1,Champions
C0154,2025-12-14 18:03:00,6,12694276.0,17,4,4,1,9,Huế,retail,2024-04-21,2,Loyal
C0155,2025-12-22 03:14:00,8,1427696319.0,9,5,5,5,15,Hải Phòng,wholesale,2024-12-16,1,Champions
C0156,2025-12-11 17:07:00,5,8996517.0,20,4,3,1,8,Hải Phòng,retail,2024-03-22,2,Loyal
C0157,2025-11-09 00:02:00,5,613418320.0,52,3,3,5,11,Hải Phòng,office,2023-12-21,1,Champions
C0158,2025-12-10 03:06:00,8,218963334.0,21,4,5,4,13,TP. Hồ Chí Minh,retail,2024-10-05,1,Champions
C0159,2025-11-04 23:45:00,7,114783573.0,57,2,4,3,9,Hải Phòng,student,2024-10-15,1,Champions
C0160,2025-09-21 18:30:00,1,78000.0,101,2,1,1,4,Biên Hòa,retail,2024-06-11,3,At Risk
C0161,2025-12-13 23:00:00,7,13002643.0,18,4,4,1,9,Hà Nội,student,2024-02-11,2,Loyal
C0162,2025-12-23 20:36:00,5,32428308.0,8,5,3,2,10,TP. Hồ Chí Minh,student,2024-12-26,2,Loyal
C0163,2025-11-12 04:29:00,5,334751629.0,49,3,3,5,11,Đà Nẵng,student,2024-03-19,2,Loyal
C0164,2025-10-19 19:09:00,8,216881435.0,73,2,5,4,11,Biên Hòa,retail,2024-11-18,1,Champions
C0165,2025-12-07 03:42:00,6,46720436.0,24,4,4,2,10,TP. Hồ Chí Minh,retail,2024-04-03,2,Loyal
C0166,2025-12-10 02:46:00,8,917819635.0,21,4,5,5,14,Huế,office,2024-07-22,1,Champions
C0167,2025-12-11 00:49:00,5,56453135.0,20,4,3,2,9,Nha Trang,student,2024-07-11,2,Loyal
C0168,2025-12-28 22:26:00,5,140147460.0,3,5,3,4,12,Biên Hòa,student,2024-09-03,2,Loyal
C0169,2025-04-08 04:39:00,3,148783380.0,267,1,1,4,6,Biên Hòa,retail,2024-12-12,0,Potential
C0170,2025-10-22 03:49:00,9,68477672.0,70,2,5,3,10,Hải Phòng,student,2024-12-16,1,Champions
C0171,2025-12-30 22:43:00,8,269966860.0,1,5,5,5,15,Biên Hòa,wholesale,2024-04-17,1,Champions
C0172,2025-12-07 01:58:00,7,127337280.0,24,4,4,3,11,Biên Hòa,retail,2024-04-16,1,Champions
C0173,2025-07-06 16:07:00,3,436000.0,178,1,1,1,3,Hải Phòng,retail,2024-04-22,3,At Risk
C0174,2025-11-23 22:27:00,7,149486325.0,38,3,4,4,11,TP. Hồ Chí Minh,retail,2024-05-09,1,Champions
C0175,2025-12-19 03:04:00,5,70864994.0,12,5,3,3,11,Nha Trang,wholesale,2024-03-25,2,Loyal
C0176,2025-10-05 01:30:00,5,142493939.0,87,2,3,4,9,Hải Phòng,retail,2024-11-23,2,Loyal
C0177,2025-06-19 16:07:00,4,387844534.0,195,1,2,5,8,Huế,retail,2024-06-23,0,Potential
C0178,2025-12-26 01:36:00,6,251357557.0,5,5,4,5,14,Hà Nội,retail,2024-06-27,1,Champions
C0179,2025-12-27 23:48:00,13,488776108.0,4,5,5,5,15,Nha Trang,office,2024-06-30,1,Champions
C0180,2025-11-24 20:53:00,7,59811582.0,37,3,4,3,10,Hà Nội,student,2024-09-22,1,Champions
C0181,2025-09-26 18:27:00,4,19508358.0,96,2,2,1,5,Nha Trang,retail,2024-12-23,2,Loyal
C0182,2025-11-26 20:27:00,8,51343729.0,35,3,5,2,10,Cần Thơ,student,2024-05-26,1,Champions
C0183,2025-08-16 17:51:00,5,97413911.0,137,1,3,3,7,Hải Phòng,retail,2024-06-29,0,Potential
C0184,2025-11-09 04:55:00,4,79006229.0,52,3,2,3,8,Nha Trang,retail,2024-04-15,2,Loyal
C0185,2025-11-22 20:09:00,5,1232743364.0,39,3,3,5,11,Huế,wholesale,2024-06-14,1,Champions
C0186,2025-10-30 04:33:00,7,180634500.0,62,2,4,4,10,Đà Nẵng,student,2024-06-22,1,Champions
C0187,2025-12-04 20:21:00,4,85526563.0,27,4,2,3,9,Hà Nội,office,2024-02-01,2,Loyal
C0188,2025-08-08 04:20:00,4,48634357.0,145,1,2,2,5,Hà Nội,retail,2024-09-26,0,Potential
C0189,2025-12-24 21:58:00,7,132084937.0,7,5,4,4,13,Đà Nẵng,student,2024-07-04,1,Champions
C0190,2025-12-27 21:42:00,7,215011169.0,4,5,5,4,14,Hà Nội,retail,2024-02-29,1,Champions
C0191,2025-08-01 21:50:00,3,23681960.0,152,1,1,2,4,Hải Phòng,retail,2024-05-13,0,Potential
C0192,2025-11-29 04:34:00,7,189127681.0,32,3,5,4,12,Nha Trang,retail,2024-05-18,1,Champions
C0193,2025-12-01 18:07:00,6,81695369.0,30,4,4,3,11,Cần Thơ,student,2024-06-30,2,Loyal
C0194,2025-11-22 18:15:00,10,105281018.0,39,3,5,3,11,Hà Nội,student,2024-07-25,1,Champions
C0195,2025-12-13 22:31:00,3,1599000.0,18,4,1,1,6,Huế,retail,2023-12-24,3,At Risk
C0196,2025-09-23 23:53:00,8,270944086.0,99,2,5,5,12,Hà Nội,student,2024-01-02,1,Champions
C0197,2025-11-12 01:25:00,7,17397812.0,49,3,5,1,9,Hải Phòng,student,2024-04-02,2,Loyal
C0198,2025-11-01 01:17:00,3,56940427.0,60,2,1,3,6,Đà Nẵng,retail,2024-10-11,2,Loyal
C0199,2025-12-15 17:04:00,6,396063899.0,16,4,4,5,13,TP. Hồ Chí Minh,wholesale,2024-07-27,1,Champions
C0200,2025-12-29 23:35:00,11,285344685.0,2,5,5,5,15,Biên Hòa,wholesale,2024-03-18,1,Champions
C0201,2025-12-29 21:33:00,4,23592158.0,2,5,2,2,9,Huế,retail,2024-12-24,2,Loyal
C0202,2025-12-18 20:38:00,8,167170928.0,13,5,5,4,14,TP. Hồ Chí Minh,student,2024-10-03,1,Champions
C0203,2025-12-09 19:40:00,6,207157174.0,22,4,4,4,12,Cần Thơ,retail,2024-02-19,1,Champions
C0204,2025-09-09 20:06:00,5,97423545.0,113,1,3,3,7,Cần Thơ,wholesale,2023-12-11,0,Potential
C0205,2025-11-11 04:44:00,4,211331784.0,50,3,2,4,9,Nha Trang,office,2024-06-07,2,Loyal
C0206,2025-12-14 18:01:00,3,23691772.0,17,4,1,2,7,TP. Hồ Chí Minh,wholesale,2024-03-08,2,Loyal
C0207,2025-10-23 22:05:00,7,271465955.0,69,2,5,5,12,Hải Phòng,retail,2024-10-14,1,Champions
C0208,2025-12-30 17:01:00,4,7117645.0,1,5,2,1,8,Cần Thơ,student,2024-12-27,2,Loyal
C0209,2025-10-31 04:33:00,5,50554300.0,61,2,3,2,7,TP. Hồ Chí Minh,student,2024-09-30,2,Loyal
C0210,2025-09-08 16:07:00,2,21174959.0,114,1,1,1,3,Hà Nội,retail,2024-09-12,0,Potential
C0211,2025-12-20 20:58:00,4,135218118.0,11,5,2,4,11,Huế,retail,2024-07-04,2,Loyal
C0212,2025-12-11 23:07:00,5,1737549.0,20,4,3,1,8,Huế,retail,2024-10-24,3,At Risk
C0213,2025-10-11 02:37:00,7,54023584.0,81,2,5,2,9,Biên Hòa,retail,2024-06-30,2,Loyal
C0214,2025-12-14 04:06:00,9,17611172.0,17,4,5,1,10,Biên Hòa,student,2024-05-31,1,Champions
C0215,2025-10-19 22:23:00,2,2861590.0,73,2,1,1,4,Đà Nẵng,student,2024-07-07,3,At Risk
C0216,2025-11-27 16:40:00,3,45082989.0,34,3,1,2,6,Cần Thơ,wholesale,2024-10-26,2,Loyal
C0217,2025-12-16 02:56:00,6,323572498.0,15,4,4,5,13,Biên Hòa,retail,2024-08-29,1,Champions
C0218,2025-11-30 20:14:00,5,7200436.0,31,3,3,1,7,Cần Thơ,retail,2024-12-06,2,Loyal
C0219,2025-09-15 20:34:00,3,34995218.0,107,1,1,2,4,TP. Hồ Chí Minh,retail,2024-04-01,0,Potential
C0220,2025-11-06 18:24:00,5,26114870.0,55,3,3,2,8,Hải Phòng,student,2024-07-15,2,Loyal
