product_id,product_name,category,brand,unit,unit_price,initial_quantity,reorder_level,popularity_weight,paired_product_id,source_type,source_reference,source_url,collected_at,raw_category,raw_price_usd,fx_usd_vnd,simulated_fields,raw_price_gbp,fx_gbp_vnd
P0077,Tipping the Velvet,Sách,Unknown,quyển,1773420,77,19,8,,public_website,https://books.toscrape.com/,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,2026-07-23T21:05:41,Books,,,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,brand,unit_price(fx)",53.74,33000
P0078,Soumission,Sách,Unknown,quyển,1653300,88,22,9,,public_website,https://books.toscrape.com/,https://books.toscrape.com/catalogue/soumission_998/index.html,2026-07-23T21:05:41,Books,,,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,brand,unit_price(fx)",50.1,33000
P0079,Sharp Objects,Sách,Unknown,quyển,1578060,99,24,10,,public_website,https://books.toscrape.com/,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,2026-07-23T21:05:41,Books,,,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,brand,unit_price(fx)",47.82,33000
P0080,Sapiens: A Brief History of Humankind,Sách,Unknown,quyển,1789590,110,27,1,,public_website,https://books.toscrape.com/,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,2026-07-23T21:05:41,Books,,,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,brand,unit_price(fx)",54.23,33000
P0081,The Requiem Red,Sách,Unknown,quyển,747450,121,30,2,,public_website,https://books.toscrape.com/,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,2026-07-23T21:05:41,Books,,,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,brand,unit_price(fx)",22.65,33000
P0082,The Dirty Little Secrets of Getting Your Dream Job,Sách,Unknown,quyển,1100220,32,8,3,,public_website,https://books.toscrape.com/,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,2026-07-23T21:05:41,Books,,,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,brand,unit_price(fx)",33.34,33000
P0083,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Sách,Unknown,quyển,591690,43,10,4,,public_website,https://books.toscrape.com/,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,2026-07-23T21:05:41,Books,,,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,brand,unit_price(fx)",17.93,33000
P0084,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Sách,Unknown,quyển,745800,54,13,5,,public_website,https://books.toscrape.com/,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,2026-07-23T21:05:41,Books,,,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,brand,unit_price(fx)",22.6,33000
P0085,The Black Maria,Sách,Unknown,quyển,1720950,65,16,6,,public_website,https://books.toscrape.com/,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,2026-07-23T21:05:41,Books,,,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,brand,unit_price(fx)",52.15,33000
P0086,"Starving Hearts (Triangular Trade Trilogy, #1)",Sách,Unknown,quyển,461670,76,19,7,,public_website,https://books.toscrape.com/,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,2026-07-23T21:05:41,Books,,,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,brand,unit_price(fx)",13.99,33000
P0087,Shakespeare's Sonnets,Sách,Unknown,quyển,681780,87,21,8,,public_website,https://books.toscrape.com/,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,2026-07-23T21:05:41,Books,,,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,brand,unit_price(fx)",20.66,33000
P0088,Set Me Free,Sách,Unknown,quyển,576180,98,24,9,,public_website,https://books.toscrape.com/,https://books.toscrape.com/catalogue/set-me-free_988/index.html,2026-07-23T21:05:41,Books,,,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,brand,unit_price(fx)",17.46,33000
P0089,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sách,Unknown,quyển,1725570,109,27,10,,public_website,https://books.toscrape.com/,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,2026-07-23T21:05:41,Books,,,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,brand,unit_price(fx)",52.29,33000
P0090,Rip it Up and Start Again,Sách,Unknown,quyển,1155660,120,30,1,,public_website,https://books.toscrape.com/,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,2026-07-23T21:05:41,Books,,,"initial_quantity,reorder_level,popularity_weight,paired_product_id,product_id,brand,unit_price(fx)",35.02,33000
